SkierID,gender,Select_All_That_Apply
1614,f,beavm
1615,f,"deerv, canyo"
1616,m,"sbasn, parkc, deerv, canyo"
1617,m,"beavm, canyo"
1618,m,"brton, parkc, deerv, canyo"
1619,m,"solit, brton, parkc, deerv"
1620,f,"sbird, parkc, deerv, canyo"
1621,f,"parkc, deerv, canyo"
1622,f,"sbasn, parkc, deerv, canyo"
1623,m,"sbasn, powmo, solit, sbird, altax"
1624,m,"solit, brton, canyo"
1625,f,"sbasn, powmo, solit, sbird, altax, parkc"
1626,f,"sbird, altax"
1627,m,"parkc, deerv, canyo"
1628,f,"powmo, solit, altax"
1629,f,"sbasn, powmo"
1630,m,"sbird, altax"
1631,m,"sbasn, powmo"
1632,f,"beavm, sbasn, powmo"
1633,f,brton
1634,f,"parkc, deerv, canyo"
1635,f,"sbasn, parkc, deerv, canyo"
1636,m,"parkc, deerv, canyo"
1637,m,"powmo, solit, sbird, altax, canyo"
1638,f,"parkc, canyo"
1639,m,powmo
1640,m,"parkc, deerv, canyo"
1641,m,"deerv, canyo"
1642,f,"sbasn, powmo, sbird, altax"
1643,m,"sbasn, powmo"
1644,f,"parkc, deerv, canyo"
1645,f,"solit, sbird, altax"
1646,m,"sbasn, powmo, solit, altax"
1647,m,"parkc, canyo"
1648,f,"sbird, altax"
1649,m,"parkc, deerv, canyo"
1650,m,"sbasn, brton, deerv"
1651,f,"brton, sbird, altax, deerv"
1652,f,"solit, sbird, parkc"
1653,f,"beavm, sbasn, powmo, deerv"
1654,m,"sbasn, sbird, altax, deerv"
1655,f,"altax, parkc, canyo"
1656,f,"parkc, deerv, canyo"
1657,m,"sbasn, sbird, altax, parkc"
1658,m,"sbasn, brton, sbird"
1659,m,powmo
1660,f,"powmo, sbird, altax"
1661,f,"sbasn, solit, brton, sbird, altax, parkc"
1662,f,"parkc, deerv, canyo"
1663,f,solit
1664,f,"parkc, deerv, canyo"
1665,m,"beavm, powmo, brton, sbird, altax, parkc, canyo"
1666,f,"sbird, altax"
1667,m,"sbasn, parkc, deerv, canyo"
1668,m,"brton, sbird"
1669,f,"sbasn, powmo, solit, sbird, altax"
1670,m,"sbasn, powmo, solit, sbird, altax"
1671,f,beavm
1672,f,"solit, sbird, altax"
1673,m,"sbasn, powmo"
1674,m,"solit, brton, sbird, parkc, deerv, canyo"
1675,f,"sbird, altax"
1676,m,"powmo, solit, sbird, altax"
1677,m,solit
1678,f,"sbird, altax"
1679,m,"brton, parkc"
1680,f,"beavm, powmo, altax, parkc, deerv, canyo"
1681,f,"sbird, altax"
1682,f,"sbasn, powmo"
1683,f,"sbasn, parkc, deerv"
1684,m,"sbasn, powmo, solit"
1685,f,"solit, altax"
1686,f,"sbird, altax"
1687,f,"solit, sbird, altax"
1688,m,"sbasn, solit, brton, sbird, parkc, deerv, canyo"
1689,f,"solit, sbird, deerv"
1690,m,"beavm, sbasn, deerv"
1691,f,"sbasn, parkc, deerv, canyo"
1692,f,"sbasn, sbird, altax"
1693,m,"parkc, deerv, canyo"
1694,f,"sbasn, parkc, deerv, canyo"
1695,m,"powmo, brton, altax"
